Source: https://search.cannabis.ca.gov/

licenseNumber,licenseType,licenseStatus,businessDbaName,issueDate,licenseDesignation
C10-0000244-LIC,Commercial -  Retailer,Active,Data Not Available,6/19/2019 0:00,Adult-Use and Medicinal
C10-0000245-LIC,Commercial -  Retailer,Active,THECIRCLE,6/19/2019 0:00,Adult-Use and Medicinal
C10-0000246-LIC,Commercial -  Retailer,Active,Urbn Leaf,6/19/2019 0:00,Adult-Use and Medicinal
C10-0000247-LIC,Commercial -  Retailer,Active,Data Not Available,6/19/2019 0:00,Adult-Use and Medicinal
C10-0000248-LIC,Commercial -  Retailer,Active,"SBC, Inc.",6/19/2019 0:00,Adult-Use and Medicinal
C10-0000249-LIC,Commercial -  Retailer,Active,Dixon Wellness Collective,6/19/2019 0:00,Adult-Use and Medicinal
C10-0000250-LIC,Commercial -  Retailer,Active,Data Not Available,6/19/2019 0:00,Adult-Use and Medicinal
C10-0000251-LIC,Commercial -  Retailer,Inactive,eight one eight collective,6/19/2019 0:00,Adult-Use and Medicinal
C10-0000252-LIC,Commercial -  Retailer,Active,Data Not Available,6/19/2019 0:00,Adult-Use and Medicinal
C10-0000253-LIC,Commercial -  Retailer,Active,The Reef,6/20/2019 0:00,Adult-Use and Medicinal
C10-0000254-LIC,Commercial -  Retailer,Active,Perfect Union,6/20/2019 0:00,Adult-Use and Medicinal
C10-0000255-LIC,Commercial -  Retailer,Active,CA Collective,6/20/2019 0:00,Adult-Use and Medicinal
C10-0000256-LIC,Commercial -  Retailer,Active,Data Not Available,6/20/2019 0:00,Adult-Use and Medicinal
C10-0000257-LIC,Commercial -  Retailer,Active,Pacific Paradise,6/20/2019 0:00,Adult-Use and Medicinal
C10-0000258-LIC,Commercial -  Retailer,Active,Satori Wellness,6/20/2019 0:00,Adult-Use and Medicinal
C10-0000259-LIC,Commercial -  Retailer,Canceled,CannaSutra,6/20/2019 0:00,Adult-Use and Medicinal
C10-0000260-LIC,Commercial -  Retailer,Expired,Minutecure,6/21/2019 0:00,Adult-Use and Medicinal
C10-0000261-LIC,Commercial -  Retailer,Active,VHHC,6/21/2019 0:00,Adult-Use and Medicinal
C10-0000262-LIC,Commercial -  Retailer,Active,Harbor Collective,6/21/2019 0:00,Adult-Use and Medicinal
C10-0000263-LIC,Commercial -  Retailer,Active,South Sacramento Care Center,6/21/2019 0:00,Adult-Use and Medicinal
C10-0000264-LIC,Commercial -  Retailer,Active,Data Not Available,6/21/2019 0:00,Adult-Use and Medicinal
C10-0000265-LIC,Commercial -  Retailer,Active,MISSION ORGANIC CENTER,6/21/2019 0:00,Adult-Use and Medicinal
C10-0000266-LIC,Commercial -  Retailer,Active,Data Not Available,6/21/2019 0:00,Adult-Use and Medicinal
C10-0000267-LIC,Commercial -  Retailer,Canceled,"DBO INVESTMENTS LB, LLC",6/21/2019 0:00,Adult-Use and Medicinal
C10-0000268-LIC,Commercial -  Retailer,Expired,Data Not Available,6/21/2019 0:00,Adult-Use and Medicinal
C10-0000269-LIC,Commercial -  Retailer,Active,Delta Boyz,6/22/2019 0:00,Adult-Use and Medicinal
C10-0000270-LIC,Commercial -  Retailer,Active,"805 BEACH BREAKS, INC.",6/24/2019 0:00,Adult-Use and Medicinal
C10-0000271-LIC,Commercial -  Retailer,Active,Sovereign,6/24/2019 0:00,Adult-Use and Medicinal
C10-0000272-LIC,Commercial -  Retailer,Active,Data Not Available,6/25/2019 0:00,Adult-Use and Medicinal
C10-0000273-LIC,Commercial -  Retailer,Inactive,"MILKMAN, LLC",6/25/2019 0:00,Adult-Use and Medicinal
C10-0000274-LIC,Commercial -  Retailer,Active,Data Not Available,6/25/2019 0:00,Adult-Use and Medicinal
C10-0000275-LIC,Commercial -  Retailer,Active,Authentic 760,6/25/2019 0:00,Adult-Use and Medicinal
C10-0000276-LIC,Commercial -  Retailer,Expired,Pullman St Enterprises,6/25/2019 0:00,Medicinal
C10-0000277-LIC,Commercial -  Retailer,Active,Data Not Available,6/25/2019 0:00,Adult-Use and Medicinal
C10-0000278-LIC,Commercial -  Retailer,Active,High Note LA,6/25/2019 0:00,Adult-Use and Medicinal
C10-0000279-LIC,Commercial -  Retailer,Active,99 High Tide,6/25/2019 0:00,Adult-Use and Medicinal
C10-0000280-LIC,Commercial -  Retailer,Active,Red Door Remedies,6/25/2019 0:00,Adult-Use and Medicinal
C10-0000281-LIC,Commercial -  Retailer,Active,Data Not Available,6/25/2019 0:00,Adult-Use and Medicinal
C10-0000282-LIC,Commercial -  Retailer,Active,2ONE2 California,6/25/2019 0:00,Adult-Use and Medicinal
C10-0000283-LIC,Commercial -  Retailer,Expired,Lord Jones,6/25/2019 0:00,Adult-Use
C10-0000284-LIC,Commercial -  Retailer,Active,Data Not Available,6/25/2019 0:00,Adult-Use and Medicinal
C10-0000285-LIC,Commercial -  Retailer,Active,Data Not Available,6/25/2019 0:00,Adult-Use and Medicinal
C10-0000286-LIC,Commercial -  Retailer,Active,"KP PATTERSON MANAGEMENT, LLC",6/25/2019 0:00,Adult-Use and Medicinal
C10-0000287-LIC,Commercial -  Retailer,Active,Tree Factory,6/25/2019 0:00,Adult-Use and Medicinal
C10-0000288-LIC,Commercial -  Retailer,Active,Project Cannabis Studio City,6/25/2019 0:00,Adult-Use and Medicinal
C10-0000289-LIC,Commercial -  Retailer,Active,Data Not Available,6/25/2019 0:00,Adult-Use and Medicinal
C10-0000290-LIC,Commercial -  Retailer,Active,Embr,6/25/2019 0:00,Adult-Use and Medicinal
C10-0000291-LIC,Commercial -  Retailer,Active,Data Not Available,6/26/2019 0:00,Adult-Use and Medicinal
C10-0000292-LIC,Commercial -  Retailer,Active,Los Angeles Patients and Caregivers Group,6/26/2019 0:00,Adult-Use and Medicinal
C10-0000293-LIC,Commercial -  Retailer,Active,The Farmacy,6/26/2019 0:00,Adult-Use
C10-0000294-LIC,Commercial -  Retailer,Active,Royal Highness,6/26/2019 0:00,Adult-Use and Medicinal
C10-0000295-LIC,Commercial -  Retailer,Active,Garden of Eden,6/26/2019 0:00,Adult-Use and Medicinal
C10-0000296-LIC,Commercial -  Retailer,Active,Data Not Available,6/26/2019 0:00,Adult-Use and Medicinal
C10-0000297-LIC,Commercial -  Retailer,Active,Data Not Available,6/26/2019 0:00,Adult-Use and Medicinal
C10-0000298-LIC,Commercial -  Retailer,Active,Data Not Available,6/26/2019 0:00,Adult-Use and Medicinal
C10-0000299-LIC,Commercial -  Retailer,Canceled,TULARE ALTERNATIVE RELIEF ASSOCIATION,6/26/2019 0:00,Medicinal
C10-0000300-LIC,Commercial -  Retailer,Active,Sol de Mendocino,6/26/2019 0:00,Adult-Use and Medicinal
C10-0000301-LIC,Commercial -  Retailer,Active,"Lotus River, Inc.",6/26/2019 0:00,Adult-Use and Medicinal
C10-0000302-LIC,Commercial -  Retailer,Active,Data Not Available,6/26/2019 0:00,Adult-Use and Medicinal
C10-0000303-LIC,Commercial -  Retailer,Expired,Data Not Available,6/26/2019 0:00,Adult-Use
C10-0000304-LIC,Commercial -  Retailer,Canceled,Data Not Available,6/26/2019 0:00,Adult-Use and Medicinal
C10-0000305-LIC,Commercial -  Retailer,Active,One Plant,6/26/2019 0:00,Medicinal
C10-0000306-LIC,Commercial -  Retailer,Active,Data Not Available,6/26/2019 0:00,Adult-Use
C10-0000307-LIC,Commercial -  Retailer,Canceled,Foothill Health and Wellness,6/26/2019 0:00,Medicinal
C10-0000308-LIC,Commercial -  Retailer,Canceled,Releaf Herbal Cooperative,6/26/2019 0:00,Adult-Use and Medicinal
C10-0000309-LIC,Commercial -  Retailer,Active,Mendocann,6/26/2019 0:00,Adult-Use
C10-0000310-LIC,Commercial -  Retailer,Active,Oakland Organica,6/26/2019 0:00,Adult-Use and Medicinal
C10-0000311-LIC,Commercial -  Retailer,Active,Haven,6/27/2019 0:00,Adult-Use and Medicinal
C10-0000312-LIC,Commercial -  Retailer,Active,Elevate on 3rd,6/27/2019 0:00,Adult-Use and Medicinal
C10-0000313-LIC,Commercial -  Retailer,Active,Data Not Available,6/27/2019 0:00,Adult-Use and Medicinal
C10-0000314-LIC,Commercial -  Retailer,Active,Data Not Available,6/27/2019 0:00,Adult-Use and Medicinal
C10-0000315-LIC,Commercial -  Retailer,Active,Data Not Available,6/27/2019 0:00,Adult-Use and Medicinal
C10-0000316-LIC,Commercial -  Retailer,Active,"Lompoc Valley Organic's, LLC",6/27/2019 0:00,Adult-Use
C10-0000317-LIC,Commercial -  Retailer,Active,Data Not Available,6/27/2019 0:00,Adult-Use and Medicinal
C10-0000318-LIC,Commercial -  Retailer,Active,Zen Garden Wellness,6/27/2019 0:00,Adult-Use and Medicinal
C10-0000319-LIC,Commercial -  Retailer,Active,Zen Garden Wellness,6/27/2019 0:00,Adult-Use and Medicinal
C10-0000320-LIC,Commercial -  Retailer,Active,Strains Dispensary,6/28/2019 0:00,Adult-Use and Medicinal
C10-0000321-LIC,Commercial -  Retailer,Active,IVTHC,6/28/2019 0:00,Adult-Use and Medicinal
C10-0000322-LIC,Commercial -  Retailer,Active,HIGHER VISION DISPENSARY INC,6/28/2019 0:00,Adult-Use and Medicinal
C10-0000323-LIC,Commercial -  Retailer,Active,San Diego Recreational Cannabis  SDRC,6/28/2019 0:00,Adult-Use and Medicinal
C10-0000324-LIC,Commercial -  Retailer,Active,PERFECT UNION,6/28/2019 0:00,Adult-Use and Medicinal
C10-0000325-LIC,Commercial -  Retailer,Active,Data Not Available,6/28/2019 0:00,Adult-Use and Medicinal
C10-0000326-LIC,Commercial -  Retailer,Active,Data Not Available,6/28/2019 0:00,Adult-Use and Medicinal
C10-0000327-LIC,Commercial -  Retailer,Active,GreenBean,6/28/2019 0:00,Adult-Use and Medicinal
C10-0000328-LIC,Commercial -  Retailer,Active,CannaCruz,6/28/2019 0:00,Adult-Use and Medicinal
C10-0000329-LIC,Commercial -  Retailer,Active,420 Central,6/28/2019 0:00,Adult-Use and Medicinal
C10-0000330-LIC,Commercial -  Retailer,Active,Connected Sacramento,6/28/2019 0:00,Adult-Use and Medicinal
C10-0000331-LIC,Commercial -  Retailer,Active,Organicann,6/28/2019 0:00,Adult-Use and Medicinal
C10-0000332-LIC,Commercial -  Retailer,Active,Data Not Available,6/28/2019 0:00,Adult-Use and Medicinal
C10-0000333-LIC,Commercial -  Retailer,Expired,Data Not Available,6/28/2019 0:00,Adult-Use and Medicinal
C10-0000334-LIC,Commercial -  Retailer,Active,Data Not Available,6/28/2019 0:00,Adult-Use and Medicinal
C10-0000335-LIC,Commercial -  Retailer,Active,Tree Factory,6/28/2019 0:00,Adult-Use and Medicinal
C10-0000336-LIC,Commercial -  Retailer,Active,"The Relief Collective, Inc.",6/28/2019 0:00,Adult-Use and Medicinal
C10-0000337-LIC,Commercial -  Retailer,Active,West Coast Holistic Center,6/28/2019 0:00,Adult-Use and Medicinal
C10-0000338-LIC,Commercial -  Retailer,Active,Data Not Available,6/28/2019 0:00,Adult-Use
C10-0000339-LIC,Commercial -  Retailer,Active,Data Not Available,6/28/2019 0:00,Adult-Use and Medicinal
C10-0000340-LIC,Commercial -  Retailer,Active,WeedWay,6/28/2019 0:00,Adult-Use and Medicinal
C10-0000341-LIC,Commercial -  Retailer,Active,Data Not Available,6/28/2019 0:00,Adult-Use and Medicinal
C10-0000342-LIC,Commercial -  Retailer,Active,Data Not Available,6/29/2019 0:00,Adult-Use and Medicinal
C10-0000343-LIC,Commercial -  Retailer,Active,Data Not Available,6/30/2019 0:00,Medicinal
C10-0000344-LIC,Commercial -  Retailer,Canceled,Harbor Collective,7/2/2019 0:00,Medicinal
C10-0000345-LIC,Commercial -  Retailer,Canceled,Showgrow,7/2/2019 0:00,Adult-Use and Medicinal
C10-0000346-LIC,Commercial -  Retailer,Active,Data Not Available,7/2/2019 0:00,Adult-Use and Medicinal
C10-0000347-LIC,Commercial -  Retailer,Active,Data Not Available,7/2/2019 0:00,Adult-Use and Medicinal
C10-0000348-LIC,Commercial -  Retailer,Active,Doctor's Orders,7/3/2019 0:00,Adult-Use and Medicinal
C10-0000349-LIC,Commercial -  Retailer,Canceled,Data Not Available,7/3/2019 0:00,Adult-Use and Medicinal
C10-0000350-LIC,Commercial -  Retailer,Active,KOLAS #102,7/3/2019 0:00,Adult-Use and Medicinal
C10-0000351-LIC,Commercial -  Retailer,Active,Florin Wellness Center,7/3/2019 0:00,Adult-Use and Medicinal
C10-0000352-LIC,Commercial -  Retailer,Active,Abatin Wellness Center,7/3/2019 0:00,Adult-Use and Medicinal
C10-0000353-LIC,Commercial -  Retailer,Active,Cannabis Buyers Club of Berkeley,7/3/2019 0:00,Adult-Use and Medicinal
C10-0000354-LIC,Commercial -  Retailer,Active,Data Not Available,7/3/2019 0:00,Adult-Use and Medicinal
C10-0000355-LIC,Commercial -  Retailer,Active,Data Not Available,7/3/2019 0:00,Adult-Use and Medicinal
C10-0000356-LIC,Commercial -  Retailer,Active,Firehaus,7/3/2019 0:00,Adult-Use and Medicinal
C10-0000357-LIC,Commercial -  Retailer,Active,Canna Culture,7/3/2019 0:00,Adult-Use and Medicinal
C10-0000358-LIC,Commercial -  Retailer,Active,Pure 710SF,7/3/2019 0:00,Adult-Use and Medicinal
C10-0000359-LIC,Commercial -  Retailer,Active,SweetFlower Westwood,7/3/2019 0:00,Adult-Use and Medicinal
C10-0000360-LIC,Commercial -  Retailer,Revoked,Westside Collective,7/3/2019 0:00,Adult-Use and Medicinal
C10-0000361-LIC,Commercial -  Retailer,Active,Data Not Available,7/3/2019 0:00,Adult-Use and Medicinal
C10-0000362-LIC,Commercial -  Retailer,Active,Sweet Flower Studio City,7/3/2019 0:00,Adult-Use and Medicinal
C10-0000363-LIC,Commercial -  Retailer,Active,Evergreen,7/3/2019 0:00,Adult-Use
C10-0000364-LIC,Commercial -  Retailer,Active,RYAN CAMERON RAYBURN COLLECTIVE,7/3/2019 0:00,Adult-Use and Medicinal
C10-0000365-LIC,Commercial -  Retailer,Active,Beyond / Hello,7/3/2019 0:00,Adult-Use and Medicinal
C10-0000366-LIC,Commercial -  Retailer,Active,Data Not Available,7/3/2019 0:00,Adult-Use and Medicinal
C10-0000367-LIC,Commercial -  Retailer,Active,Data Not Available,7/3/2019 0:00,Adult-Use and Medicinal
C10-0000368-LIC,Commercial -  Retailer,Active,Data Not Available,7/3/2019 0:00,Adult-Use and Medicinal
C10-0000369-LIC,Commercial -  Retailer,Active,NUG,7/3/2019 0:00,Adult-Use and Medicinal
C10-0000370-LIC,Commercial -  Retailer,Active,Data Not Available,7/3/2019 0:00,Adult-Use and Medicinal
C10-0000371-LIC,Commercial -  Retailer,Active,Data Not Available,7/5/2019 0:00,Adult-Use and Medicinal
C10-0000372-LIC,Commercial -  Retailer,Active,West Coast Cannabis Club,7/5/2019 0:00,Adult-Use and Medicinal
C10-0000373-LIC,Commercial -  Retailer,Active,Data Not Available,7/5/2019 0:00,Adult-Use and Medicinal
C10-0000374-LIC,Commercial -  Retailer,Active,Seaweed On Ocean,7/5/2019 0:00,Adult-Use and Medicinal
C10-0000375-LIC,Commercial -  Retailer,Active,Green Gold Cultivators,7/5/2019 0:00,Adult-Use and Medicinal
C10-0000376-LIC,Commercial -  Retailer,Active,Connected Cannabis Co.,7/5/2019 0:00,Adult-Use and Medicinal
C10-0000377-LIC,Commercial -  Retailer,Active,Green Remedy,7/5/2019 0:00,Adult-Use and Medicinal
C10-0000378-LIC,Commercial -  Retailer,Active,Apothekare,7/5/2019 0:00,Adult-Use and Medicinal
C10-0000379-LIC,Commercial -  Retailer,Active,"Sure Felt, LLC",7/5/2019 0:00,Adult-Use and Medicinal
C10-0000380-LIC,Commercial -  Retailer,Active,Data Not Available,7/5/2019 0:00,Adult-Use
C10-0000381-LIC,Commercial -  Retailer,Active,Data Not Available,7/5/2019 0:00,Adult-Use and Medicinal
C10-0000382-LIC,Commercial -  Retailer,Active,Data Not Available,7/5/2019 0:00,Adult-Use
C10-0000383-LIC,Commercial -  Retailer,Active,Erba Markets,7/5/2019 0:00,Adult-Use and Medicinal
C10-0000384-LIC,Commercial -  Retailer,Active,"Olive Tree Patients Association, Olive Tree Wellness Center",7/8/2019 0:00,Medicinal
C10-0000385-LIC,Commercial -  Retailer,Active,"Rochambeau, Inc.",7/8/2019 0:00,Adult-Use and Medicinal
C10-0000386-LIC,Commercial -  Retailer,Active,Muzeum,7/9/2019 0:00,Adult-Use and Medicinal
C10-0000387-LIC,Commercial -  Retailer,Active,Grass Roots,7/9/2019 0:00,Adult-Use and Medicinal
C10-0000388-LIC,Commercial -  Retailer,Active,Data Not Available,7/9/2019 0:00,Adult-Use and Medicinal
C10-0000389-LIC,Commercial -  Retailer,Active,The Pottery,7/9/2019 0:00,Adult-Use and Medicinal
C10-0000390-LIC,Commercial -  Retailer,Active,"L.B. COLLECTIVE, INC.",7/9/2019 0:00,Adult-Use and Medicinal
C10-0000391-LIC,Commercial -  Retailer,Active,Data Not Available,7/9/2019 0:00,Adult-Use and Medicinal
C10-0000392-LIC,Commercial -  Retailer,Active,Data Not Available,7/9/2019 0:00,Adult-Use and Medicinal
C10-0000393-LIC,Commercial -  Retailer,Expired,Data Not Available,7/9/2019 0:00,Adult-Use and Medicinal
C10-0000394-LIC,Commercial -  Retailer,Active,Data Not Available,7/9/2019 0:00,Adult-Use and Medicinal
C10-0000395-LIC,Commercial -  Retailer,Active,Data Not Available,7/9/2019 0:00,Adult-Use and Medicinal
C10-0000396-LIC,Commercial -  Retailer,Active,Harborside,7/9/2019 0:00,Adult-Use and Medicinal
C10-0000397-LIC,Commercial -  Retailer,Active,Cana Sylmar,7/9/2019 0:00,Adult-Use and Medicinal
C10-0000398-LIC,Commercial -  Retailer,Active,Data Not Available,7/10/2019 0:00,Adult-Use and Medicinal
C10-0000399-LIC,Commercial -  Retailer,Active,"California Herbal Remedies, Inc.",7/10/2019 0:00,Adult-Use and Medicinal
C10-0000400-LIC,Commercial -  Retailer,Active,10 Spot,7/10/2019 0:00,Adult-Use
C10-0000401-LIC,Commercial -  Retailer,Active,Super Clinik,7/10/2019 0:00,Adult-Use and Medicinal
C10-0000402-LIC,Commercial -  Retailer,Active,West Clinik,7/10/2019 0:00,Adult-Use and Medicinal
C10-0000403-LIC,Commercial -  Retailer,Active,The People's Remedy,7/10/2019 0:00,Adult-Use and Medicinal
C10-0000404-LIC,Commercial -  Retailer,Active,Bang Mingo,7/10/2019 0:00,Adult-Use and Medicinal
C10-0000405-LIC,Commercial -  Retailer,Active,Cookies Melrose,7/10/2019 0:00,Adult-Use and Medicinal
C10-0000406-LIC,Commercial -  Retailer,Active,Data Not Available,7/10/2019 0:00,Adult-Use and Medicinal
C10-0000407-LIC,Commercial -  Retailer,Active,Cookies La Mesa,7/11/2019 0:00,Adult-Use and Medicinal
C10-0000408-LIC,Commercial -  Retailer,Active,THE MARKETPLACE BY MR. NICE GUY,7/11/2019 0:00,Adult-Use
C10-0000409-LIC,Commercial -  Retailer,Active,Data Not Available,7/11/2019 0:00,Adult-Use and Medicinal
C10-0000410-LIC,Commercial -  Retailer,Active,BEVERLY HILLS ALTERNATIVE RELIEF CENTER,7/11/2019 0:00,Adult-Use and Medicinal
C10-0000411-LIC,Commercial -  Retailer,Active,PERFECT UNION,7/11/2019 0:00,Adult-Use and Medicinal
C10-0000412-LIC,Commercial -  Retailer,Active,Cloud 9,7/11/2019 0:00,Adult-Use and Medicinal
C10-0000413-LIC,Commercial -  Retailer,Active,KOLAS #103,7/11/2019 0:00,Adult-Use and Medicinal
C10-0000414-LIC,Commercial -  Retailer,Active,Data Not Available,7/12/2019 0:00,Adult-Use and Medicinal
C10-0000415-LIC,Commercial -  Retailer,Active,Data Not Available,7/12/2019 0:00,Adult-Use and Medicinal
C10-0000416-LIC,Commercial -  Retailer,Active,Cana Harbor,7/14/2019 0:00,Adult-Use and Medicinal
C10-0000417-LIC,Commercial -  Retailer,Active,Data Not Available,7/15/2019 0:00,Medicinal
C10-0000418-LIC,Commercial -  Retailer,Active,High Tides,7/15/2019 0:00,Adult-Use and Medicinal
C10-0000419-LIC,Commercial -  Retailer,Active,The Botanist,7/15/2019 0:00,Adult-Use and Medicinal
C10-0000420-LIC,Commercial -  Retailer,Active,Gradus,7/15/2019 0:00,Adult-Use and Medicinal
C10-0000421-LIC,Commercial -  Retailer,Active,MedMen WeHo,7/15/2019 0:00,Adult-Use and Medicinal
C10-0000422-LIC,Commercial -  Retailer,Active,"EVERGREEN EVOLUTION, LLC",7/15/2019 0:00,Adult-Use and Medicinal
C10-0000423-LIC,Commercial -  Retailer,Active,Data Not Available,7/15/2019 0:00,Adult-Use and Medicinal
C10-0000424-LIC,Commercial -  Retailer,Active,Data Not Available,7/15/2019 0:00,Adult-Use and Medicinal
C10-0000425-LIC,Commercial -  Retailer,Active,Sugarleaf Trading Company,7/16/2019 0:00,Adult-Use and Medicinal
C10-0000426-LIC,Commercial -  Retailer,Active,MedMen Beverly Hills,7/16/2019 0:00,Adult-Use and Medicinal
C10-0000427-LIC,Commercial -  Retailer,Active,Moe Greens,7/16/2019 0:00,Adult-Use and Medicinal
C10-0000428-LIC,Commercial -  Retailer,Active,Data Not Available,7/16/2019 0:00,Adult-Use and Medicinal
C10-0000429-LIC,Commercial -  Retailer,Canceled,"Parkway Drive Group, Inc.",7/16/2019 0:00,Medicinal
C10-0000430-LIC,Commercial -  Retailer,Canceled,Data Not Available,7/16/2019 0:00,Medicinal
C10-0000431-LIC,Commercial -  Retailer,Active,Data Not Available,7/16/2019 0:00,Adult-Use and Medicinal
C10-0000432-LIC,Commercial -  Retailer,Canceled,University and Mass Group Inc.,7/16/2019 0:00,Medicinal
C10-0000433-LIC,Commercial -  Retailer,Canceled,Lake Murray Group Inc.,7/16/2019 0:00,Medicinal
C10-0000434-LIC,Commercial -  Retailer,Active,Los Angeles Variety Cannabis,7/16/2019 0:00,Adult-Use and Medicinal
C10-0000435-LIC,Commercial -  Retailer,Active,Harborside,7/16/2019 0:00,Adult-Use and Medicinal
C10-0000436-LIC,Commercial -  Retailer,Active,ASHE SOCIETY,7/16/2019 0:00,Adult-Use
C10-0000437-LIC,Commercial -  Retailer,Active,Data Not Available,7/16/2019 0:00,Adult-Use and Medicinal
C10-0000438-LIC,Commercial -  Retailer,Active,One Love Beach Club,7/16/2019 0:00,Adult-Use and Medicinal
C10-0000439-LIC,Commercial -  Retailer,Active,Alternative Herbal Health Services,7/16/2019 0:00,Adult-Use and Medicinal
C10-0000440-LIC,Commercial -  Retailer,Active,Green America Inc,7/16/2019 0:00,Adult-Use and Medicinal
C10-0000441-LIC,Commercial -  Retailer,Active,Caliva,7/16/2019 0:00,Adult-Use and Medicinal
C10-0000442-LIC,Commercial -  Retailer,Active,MedMen OC,7/16/2019 0:00,Adult-Use and Medicinal
C10-0000443-LIC,Commercial -  Retailer,Expired,Santa Cruz Mountain Herb,7/17/2019 0:00,Adult-Use and Medicinal
C10-0000444-LIC,Commercial -  Retailer,Active,Cana Roots,7/17/2019 0:00,Adult-Use and Medicinal
C10-0000445-LIC,Commercial -  Retailer,Active,The OG Collective,7/17/2019 0:00,Adult-Use and Medicinal
C10-0000446-LIC,Commercial -  Retailer,Expired,Data Not Available,7/17/2019 0:00,Adult-Use and Medicinal
C10-0000447-LIC,Commercial -  Retailer,Active,NRC Holistic Health Services Clinic,7/17/2019 0:00,Adult-Use and Medicinal
C10-0000448-LIC,Commercial -  Retailer,Active,Data Not Available,7/17/2019 0:00,Adult-Use and Medicinal
C10-0000449-LIC,Commercial -  Retailer,Canceled,Wild Seed Wellness,7/17/2019 0:00,Medicinal
C10-0000450-LIC,Commercial -  Retailer,Active,Data Not Available,7/17/2019 0:00,Adult-Use and Medicinal
C10-0000451-LIC,Commercial -  Retailer,Expired,Data Not Available,7/17/2019 0:00,Adult-Use
C10-0000452-LIC,Commercial -  Retailer,Active,SPARC,7/18/2019 0:00,Adult-Use and Medicinal
C10-0000453-LIC,Commercial -  Retailer,Active,Farm Direct,7/18/2019 0:00,Adult-Use and Medicinal
C10-0000454-LIC,Commercial -  Retailer,Active,"Love Shack, Love Shack by SPARC",7/18/2019 0:00,Adult-Use and Medicinal
C10-0000455-LIC,Commercial -  Retailer,Active,SPARC,7/18/2019 0:00,Adult-Use and Medicinal
C10-0000456-LIC,Commercial -  Retailer,Active,Data Not Available,7/18/2019 0:00,Adult-Use and Medicinal
C10-0000457-LIC,Commercial -  Retailer,Active,"EXCLUSIVE CAREGIVERS OF CALIFORNIA, INC.",7/18/2019 0:00,Adult-Use and Medicinal
C10-0000458-LIC,Commercial -  Retailer,Active,Mother Nature's Remedy Caregiver's,7/18/2019 0:00,Adult-Use and Medicinal
C10-0000459-LIC,Commercial -  Retailer,Active,"SUPERIOR HERBAL HEALTH, LLC",7/18/2019 0:00,Adult-Use and Medicinal
C10-0000460-LIC,Commercial -  Retailer,Active,"Marina Caregivers, Inc",7/18/2019 0:00,Adult-Use and Medicinal
C10-0000461-LIC,Commercial -  Retailer,Active,House of Flowers Los Angeles,7/18/2019 0:00,Adult-Use and Medicinal
C10-0000462-LIC,Commercial -  Retailer,Active,The Coughy Shop,7/18/2019 0:00,Adult-Use and Medicinal
C10-0000463-LIC,Commercial -  Retailer,Active,Harborside,7/18/2019 0:00,Adult-Use and Medicinal
C10-0000464-LIC,Commercial -  Retailer,Active,Urbn Leaf,7/18/2019 0:00,Adult-Use and Medicinal
C10-0000465-LIC,Commercial -  Retailer,Active,Data Not Available,7/18/2019 0:00,Adult-Use and Medicinal
C10-0000466-LIC,Commercial -  Retailer,Expired,"Heirloom Organics, LLC",7/18/2019 0:00,Adult-Use and Medicinal
C10-0000467-LIC,Commercial -  Retailer,Active,Cookies Redding,7/18/2019 0:00,Adult-Use and Medicinal
C10-0000468-LIC,Commercial -  Retailer,Active,Organic Greens Collective,7/18/2019 0:00,Adult-Use and Medicinal
C10-0000469-LIC,Commercial -  Retailer,Active,Data Not Available,7/19/2019 0:00,Adult-Use and Medicinal
C10-0000470-LIC,Commercial -  Retailer,Expired,Data Not Available,7/19/2019 0:00,Adult-Use and Medicinal
C10-0000471-LIC,Commercial -  Retailer,Canceled,All About Wellness,7/19/2019 0:00,Adult-Use and Medicinal
C10-0000472-LIC,Commercial -  Retailer,Active,Columbia Care Dispensary,7/19/2019 0:00,Adult-Use and Medicinal
C10-0000473-LIC,Commercial -  Retailer,Canceled,MONTEREY BAY ALTERNATIVE MEDICINE,7/19/2019 0:00,Adult-Use and Medicinal
C10-0000474-LIC,Commercial -  Retailer,Active,Data Not Available,7/19/2019 0:00,Adult-Use and Medicinal
C10-0000475-LIC,Commercial -  Retailer,Active,Vibe by California,7/19/2019 0:00,Adult-Use and Medicinal
C10-0000476-LIC,Commercial -  Retailer,Active,Data Not Available,7/19/2019 0:00,Adult-Use and Medicinal
C10-0000477-LIC,Commercial -  Retailer,Active,no wait meds,7/20/2019 0:00,Adult-Use and Medicinal
C10-0000478-LIC,Commercial -  Retailer,Active,Firehouse365,7/22/2019 0:00,Adult-Use and Medicinal
C10-0000479-LIC,Commercial -  Retailer,Active,NUG Wellness,7/22/2019 0:00,Adult-Use and Medicinal
C10-0000480-LIC,Commercial -  Retailer,Expired,Valley Farms,7/22/2019 0:00,Adult-Use and Medicinal
C10-0000481-LIC,Commercial -  Retailer,Active,Data Not Available,7/22/2019 0:00,Adult-Use and Medicinal
C10-0000482-LIC,Commercial -  Retailer,Active,The Leaf,7/22/2019 0:00,Adult-Use and Medicinal
C10-0000483-LIC,Commercial -  Retailer,Active,Data Not Available,7/22/2019 0:00,Adult-Use and Medicinal
C10-0000484-LIC,Commercial -  Retailer,Active,Data Not Available,7/22/2019 0:00,Adult-Use and Medicinal
